#,Módulo (Medway),Conteúdo (Medway),Tópicos de Flashcards correspondentes (Osler)
28,Cirurgia Geral,Abdome Agudo Inflamatório,"• Abdomem Agudo Inflamatório (Apendicite, Diverticulite, Pancreatite Aguda)• Abordagem Abdome Agudo"
29,Cirurgia Geral,Abdome Agudo Isquêmico,• Abdomem Agudo Vascular• Oclusão Arterial Aguda (Cirurgia Vascular)
30,Cirurgia Geral,Abdome Agudo Obstrutivo,• Abdomem Agudo Obstrutivo• Corpo Estranho no Trato Gastrintestinal
31,Cirurgia Geral,Abdome Agudo Perfurativo,• Abdomem Agudo Perfurativo• Úlcera Péptica
32,Cirurgia Geral,Doença Arterial Periférica,• Doença Arterial Obstrutiva Periférica (Cirurgia Vascular)
33,Cirurgia Geral,Cirurgia Cardíaca,• Cirurgia Cardíaca (Cirurgia Torácica)
34,Cirurgia Geral,Tumores de Cabeça e Pescoço,• Câncer de Cabeça e Pescoço• Carcinoma de Paratireoide
35,Cirurgia Geral,Outras Afecções Cirúrgicas de Cabeça e Pescoço,• Afecções da Parótida (Parotiditide)• Afecções das Glândulas Salivares• Anatomia de Cabeça e Pescoço• Crico e Traqueostomia• Nódulos Cervicais
36,Cirurgia Geral,Cirurgia da Obesidade,• Cirurgia Bariátrica
37,Cirurgia Geral,Cólon e Reto na Cirurgia,• Câncer Colorretal• Colonoscopia• Doença Diverticular• Neoplasias do Apêndice• Prolapso e Procidência Retal
38,Cirurgia Geral,Tumores do Aparelho Digestivo,• Câncer de Esôfago• Câncer de Estômago• Câncer de Pâncreas Exócrino• Neoplasias Císticas do Pâncreas• Tumores Neuroendócrinos
39,Cirurgia Geral,Anestesia,• Anestesia Geral• Anestesia Local• Anestesia Regional• Bloqueadores Neuromusculares• Cálculo de Infusão Endovenosa• Capnografia• Hipertermia Maligna• Intubação Orotraqueal• Manejo da Dor• Monitorização Anestésica• Sedação
40,Cirurgia Geral,Cuidados e Complicações Pós-Operatórias,"• Complicações Pós-Operatórias (Abscesso Intra-Abdominal, Choque Hemorrágico, Disfunções Orgânicas, Febre e Atelectasia, Fístulas, Gossipiboma, Infecção de Sítio Cirúrgico e Antibioticoprofilaxia, Profilaxia de Tromboembolismo Venoso, Seroma & Hematoma & Deiscência, Síndrome Compartimental Abdominal)"
41,Cirurgia Geral,Cuidados Pré-Operatórios,• Avaliação Pré-Operatória (Princípios de Cirurgia)
42,Cirurgia Geral,"Feridas, Enxertos e Retalhos",• Cicatrização e Avaliação de Feridas (Cirurgia Plástica)• Enxertos e Retalhos (Cirurgia Plástica)
43,Cirurgia Geral,Técnica Operatória,• Anastomoses Intestinais• Anatomia Cirúrgica• Fios & Suturas• Instrumentação Cirúrgica• Sondas & Drenos & Cateteres
44,Cirurgia Geral,Hérnias,• Hérnias Inguinocrurais• Outras Hérnias
45,Cirurgia Geral,Tumores de Partes Moles,• Afecções de Partes Moles (Cirurgia Plástica)• Sarcomas (Cirurgia Plástica)
46,Cirurgia Geral,Cirurgia Pediátrica,"• Abdome Agudo Pediátrico (Adenite Mesentérica, Diagnóstico Diferencial, Divertículo de Meckel, Enterocolite Necrosante, Estenose Hipertrófica do Piloro, Intussuscepção, Volvo)• Hérnias na Infância• Malformações (Craniofaciais, do Sistema Nervoso/Mielomeningocele, Gastrointestinais, Genitourinárias, Intratorácicas)"
47,Cirurgia Geral,Cirurgia Torácica,• Afecções da Parede Torácica• Anatomia Torácica• Drenagem Torácica• Estenose Traqueal• Hemoptise• Hérnia Diafragmática• Hiperidrose• Laringomalácia e Traqueomalácia• Massas Mediastinais• Mediastinite• Pneumotórax• Transplante Pulmonar
48,Cirurgia Geral,Tumores Pulmonares e do Mediastino,• Câncer de Pulmão• Massas Mediastinais
49,Cirurgia Geral,Aneurismas,• Aneurismas (Cirurgia Vascular)
